Main View,Measurement Accuracy,OCR-Right,Right-OCR,Time Stemp Error
Phasor  Voltage Current,189.9 v,[],[],
VLL VLN,189.1 v,[],[],
Voltage,190.0 v,[],[],
AB BC CA,2.477 A,[],[],
Current,2.495 A,[],[],
A B C,2.494 A,[],[],
,29.7,[],[],
,-90.1,[],[],
,150.0,[],[],
,-30.1,[],[],
,-150.5,[],[],
,89.9,[],[],
