Main View,Measurement Accuracy,OCR-Right,Right-OCR,Time Stemp Error
L-L L-N Max Total Harmonic,0.0,['L-L L-N Max Total Harmonic'],['Total Harmonic L-L L-N Max'],
AB,0.0,['L-L L-N Max Total Harmonic'],['Total Harmonic L-L L-N Max'],
%,0.0,['L-L L-N Max Total Harmonic'],['Total Harmonic L-L L-N Max'],
BC,,['L-L L-N Max Total Harmonic'],['Total Harmonic L-L L-N Max'],
%,,['L-L L-N Max Total Harmonic'],['Total Harmonic L-L L-N Max'],
CA,,['L-L L-N Max Total Harmonic'],['Total Harmonic L-L L-N Max'],
%,,['L-L L-N Max Total Harmonic'],['Total Harmonic L-L L-N Max'],
