Main View,Measurement,OCR-Right,Right-OCR,Time Stemp (2024-08-22 10:46:24.259738)
Min Max Fundamental Current,49.6 %,[] (FAIL),[] (FAIL),2024-08-22 10:48:39 (PASS)
A,49.7 7 %,[] (FAIL),[] (FAIL),2024-08-22 10:49:38 (PASS)
B,49.7 %,[] (FAIL),[] (FAIL),2024-08-22 10:48:39 (PASS)
c,49.7 %,[] (FAIL),[] (FAIL),2024-08-22 10:48:39 (PASS)
Average,2.478 A,[] (FAIL),[] (FAIL),
,2.487 A,[] (FAIL),[] (FAIL),
,2.486 A,[] (FAIL),[] (FAIL),
,2.486 A,[] (FAIL),[] (FAIL),
