Main View,Measurement,OCR-Right,Right-OCR,Time Stemp (None),Img Match
Phasor Voltage Current,190.1 v,[] (PASS),[] (PASS),,"[0.9590672850608826, 1.0, 1.0]"
VLL VLN,189.7 v,,,,
Voltage,188.9 v,,,,
AB BC CA,2.480 A,,,,
Current,2.494 A,,,,
A B C,2.489 A,,,,
,29.8,,,,
,-90.6,,,,
,149.8,,,,
,-30.3,,,,
,-150.1,,,,
,89.9,,,,
