Main View,Measurement,OCR-Right,Right-OCR,Time Stemp (2024-09-03 17:05:06.189896),Img Match
Min Max Fundamental Current,49.6  %,[] (PASS),[] (PASS),2024-09-03 17:06:36 (PASS),
A,49.8 %,,,2024-09-03 17:06:47 (PASS),
B,49.7 %,,,2024-09-03 17:06:34 (PASS),
c,49.7 %,,,2024-09-03 17:06:36 (PASS),
Average,2.480 A,,,,
,2.488 A,,,,
,2.485 A,,,,
,2.486 A,,,,
