Main View,Measurement Accuracy,OCR-Right,Right-OCR,Time Stemp Error
RMS Voltage L-L  L-N Min Max,190.5 V,[],[],
AB,190.1 V,[],[],
BC,190.4 V,[],[],
CA,,[],[],
Average,,[],[],
