Main View,Measurement,OCR-Right,Right-OCR,Time Stemp (None)
Power Factor Min Max,Lag,[] (FAIL),[] (FAIL),
A,Lag,[] (FAIL),[] (FAIL),
B,Lag,[] (FAIL),[] (FAIL),
c,Lag,[] (FAIL),[] (FAIL),
Total,0.866,[] (FAIL),[] (FAIL),
,0.866,[] (FAIL),[] (FAIL),
,0.867,[] (FAIL),[] (FAIL),
,0.866,[] (FAIL),[] (FAIL),
