Main View,Measurement Accuracy,OCR-Right,Right-OCR,Time Stemp Error
RMS Current Min Max,OVER %,"['c', 'kA']",['C'],2024-08-09 08:07:33
A,OVER %,"['c', 'kA']",['C'],2024-08-09 08:07:30
kA,OVER %,"['c', 'kA']",['C'],2024-08-09 08:07:27
B,OVER %,"['c', 'kA']",['C'],2024-08-09 08:07:27
kA,49.79,"['c', 'kA']",['C'],
c,49.95,"['c', 'kA']",['C'],
kA,49.91,"['c', 'kA']",['C'],
Average,49.86,"['c', 'kA']",['C'],
kA,,"['c', 'kA']",['C'],
