Main View,Measurement,OCR-Right,Right-OCR,Time Stemp (None)
Min Power Factor Max,Lag,[] (PASS),[] (PASS),2024-08-26 16:35:34 (PASS)
A,Lag,[] (PASS),[] (PASS),2024-08-26 16:35:09 (PASS)
B,Lag,[] (PASS),[] (PASS),2024-08-26 16:35:10 (PASS)
c,Lag,[] (PASS),[] (PASS),2024-08-26 16:35:35 (PASS)
Total,0.862,[] (PASS),[] (PASS),
,0.861,[] (PASS),[] (PASS),
,0.864,[] (PASS),[] (PASS),
,0.864,[] (PASS),[] (PASS),
