Main View,Measurement,OCR-Right,Right-OCR,Time Stemp (2024-09-03 17:03:52.420986),Img Match
Min Max RMS Current,49.6  %,[] (PASS),[] (PASS),2024-09-03 17:05:13 (PASS),
A,49.8 %,,,2024-09-03 17:05:15 (PASS),
B,49.7 %,,,2024-09-03 17:05:11 (PASS),
c,49.7 %,,,2024-09-03 17:05:11 (PASS),
Average,2.480 A,,,,
,2.490 A,,,,
,2.486 A,,,,
,2.486 A,,,,
