Main View,Measurement,OCR-Right,Right-OCR,Time Stemp (2024-08-30 16:57:21.476332),Img Match
Max Voltage Unbalance,LL,[] (PASS),[] (PASS),2024-08-30 16:58:34 (PASS),
NEMA,LN,,,2024-08-30 16:58:29 (PASS),
NEMA,U2,,,2024-08-30 16:58:12 (PASS),
Negative- Sequence,U0,,,2024-08-30 16:58:28 (PASS),
Zero- Sequence,0.2 %,,,,
,0.4 %,,,,
,0.5 %,,,,
,0.7 %,,,,
