Main View,Measurement,OCR-Right,Right-OCR,Time Stemp (2024-08-22 10:46:24.259738)
Min Max Fundamental Current,49.8 %,[] (PASS),[] (PASS),2024-08-22 10:49:20 (PASS)
A,49.9 %,[] (PASS),[] (PASS),2024-08-22 10:49:52 (PASS)
B,49.9  %,[] (PASS),[] (PASS),2024-08-22 10:48:39 (PASS)
c,49.8 %,[] (PASS),[] (PASS),2024-08-22 10:48:50 (PASS)
Average,2.489 A,[] (PASS),[] (PASS),
,2.497 A,[] (PASS),[] (PASS),
,2.495 A,[] (PASS),[] (PASS),
,2.492 A,[] (PASS),[] (PASS),
