Main View,Measurement,OCR-Right,Right-OCR,Time Stemp (None),Img Match
Phasor  Voltage Current,109.5 v,[] (PASS),[] (PASS),,"[0.9838398694992065, 1.0, 1.0]"
VLL VLN,109.6 v,,,,
Voltage,109.3 v,,,,
A B C,2.479 A,,,,
Current,2.492 A,,,,
A B C,2.490 A,,,,
,0.0,,,,
,-120.3,,,,
,119.3,,,,
,-30.1,,,,
,-149.9,,,,
,89.9,,,,
