Main View,Measurement,OCR-Right,Right-OCR,Time Stemp (None),Img Match
Phasor  Voltage Current,190.0 v,[] (PASS),[] (PASS),,"[0.9895455837249756, 1.0, 1.0]"
VLL VLN,190.1 v,,,,
Voltage,189.0 v,,,,
AB BC CA,2.477 A,,,,
Current,2.493 A,,,,
A B C,2.489 A,,,,
,29.9,,,,
,-90.5,,,,
,149.7,,,,
,-30.2,,,,
,-150.0,,,,
,89.9,,,,
