Main View,Measurement Accuracy,OCR-Right,Right-OCR,Time Stemp Error
L-L L-N Max Total Harmonic Distortion,2.8,[],[],
AB,2.9,[],[],
%,2.9,[],[],
BC,,[],[],
%,,[],[],
CA,,[],[],
%,,[],[],
