Main View,Measurement,OCR-Right,Right-OCR,Time Stemp (None),Img Match
Voltage Harmonics Current,,"['0.483', '29', '25', '39', '4', '0.665', '50', '21', '0.708', '0.333', '0.500', '49', '34', '0.596', '10', 'Text', '35', '16', '24', '0.162', '0.688', '0.280', '110.8', '1', '1.077', '0.295', '17', '0.874', '0.158', '22', '46', '1.024', '19', '5', '0.085', '30', '37', '0.585', '0.494', '8', '1.314', '0.574', '43', '26', '2', '0.634', '0.717', '0.343', '18', '36', '14', '12', '31', '0.044', '0.233', '7', '0.118', '42', '0.647', '1.046', '0.096', '0.684', '0.045', '47', '0.397', '0.863', '38', '40', '11', '0.373', '6', '0.810', '27', '0.837', '20', '0.660', '0', '0.680', '0.640', '9', '0.322', '48', '0.768', '0.617', '0.464', '0.309', '23', '45', '28', '13', '1.039', '3', '0.112', '44', '0.666', '32', '0.626', '15', '33', '41', '0.587', '0.437'] (FAIL)","['C', 'Fund.', 'Graph', 'THD', 'c'] (FAIL)",,
[v] Text A B,,,,,
0 0.397 9 1.314 18 0.437 27 0.688 36 0.280 45 0.464 1 110.8 10 0.322 19 1.046 28 0.574 37 0.085 46 0.617 2 0.483 11 0.585 20 0.680 29 0.666 38 0.665 47 0.863 3 0.596 12 0.233 21 0.500 30 0.708 39 0.343 48 0.096 4 1.024 13 0.837 22 0.373 31 0.309 40 0.295 49 0.162 5 0.684 14 0.768 23 0.660 32 0.810 41 0.045 50 0.626 6 0.333 15 0.634 24 0.640 33 0.112 42 0.587 7 1.039 16 0.158 25 0.647 34 0.295 43 0.494 8 1.077 17 0.717 26 0.874 35 0.044 44 0.118,,,,,
