Main View,Measurement,OCR-Right,Right-OCR,Time Stemp (None)
Max Voltage Unbalance,LL,[] (FAIL),[] (FAIL),
NEMA,LN,[] (FAIL),[] (FAIL),
NEMA,U2,[] (FAIL),[] (FAIL),
Negative- Sequence,U0,[] (FAIL),[] (FAIL),
Zero- Sequence,0.0 %,[] (FAIL),[] (FAIL),
,0.2 %,[] (FAIL),[] (FAIL),
,0.4 %,[] (FAIL),[] (FAIL),
,0.5 %,[] (FAIL),[] (FAIL),
