Main View,Measurement Accuracy,OCR-Right,Right-OCR,Time Stemp Error
L-L  L-N Min Max Fund. Volt.,189.8,['L-L  L-N Min Max Fund. Volt.'],['Fund. Volt. L-L L-N Min Max'],
AB,189.9,['L-L  L-N Min Max Fund. Volt.'],['Fund. Volt. L-L L-N Min Max'],
v,189.9,['L-L  L-N Min Max Fund. Volt.'],['Fund. Volt. L-L L-N Min Max'],
BC,189.9,['L-L  L-N Min Max Fund. Volt.'],['Fund. Volt. L-L L-N Min Max'],
v,,['L-L  L-N Min Max Fund. Volt.'],['Fund. Volt. L-L L-N Min Max'],
CA,,['L-L  L-N Min Max Fund. Volt.'],['Fund. Volt. L-L L-N Min Max'],
v,,['L-L  L-N Min Max Fund. Volt.'],['Fund. Volt. L-L L-N Min Max'],
Average,,['L-L  L-N Min Max Fund. Volt.'],['Fund. Volt. L-L L-N Min Max'],
v,,['L-L  L-N Min Max Fund. Volt.'],['Fund. Volt. L-L L-N Min Max'],
