Main View,Measurement Accuracy,OCR-Right,Right-OCR,Time Stemp Error
L-L L-N Min Max Fund. Volt.,110.1 V,['c'],['C'],
A,109.9 V,['c'],['C'],
B,110.1 V,['c'],['C'],
c,,['c'],['C'],
Average,,['c'],['C'],
