Main View,Measurement Accuracy,OCR-Right,Right-OCR,Time Stemp Error
RMS Current Min Max,49.8 %,['c'],['C'],2024-08-13 08:44:12
A,50.0 %,['c'],['C'],2024-08-13 08:34:22
B,50.0 %,['c'],['C'],2024-08-13 08:46:17
c,49.9 %,['c'],['C'],2024-08-13 08:31:24
Average,49.83 kA,['c'],['C'],
,49.99 kA,['c'],['C'],
,49.95 kA,['c'],['C'],
