Main View,Measurement,OCR-Right,Right-OCR,Time Stemp (None),Img Match
Voltage Harmonics Current,,[] (PASS),[] (PASS),,0.9954392313957214
[A] Graph THD Fund.,,,,,
Fund. A B C,,,,,
A,,,,,
B,,,,,
C,,,,,
