Main View,Measurement,OCR-Right,Right-OCR,Time Stemp (2024-08-22 10:46:24.259738)
Max Crest Factor,1.467,[] (FAIL),[] (FAIL),2024-08-22 10:50:03 (PASS)
A,1.471,[] (FAIL),[] (FAIL),2024-08-22 10:51:46 / 321.740262 seconds (FAIL)
B,1.484,[] (FAIL),[] (FAIL),2024-08-22 10:50:04 (PASS)
c,,[] (FAIL),[] (FAIL),
