Main View,Measurement Accuracy,OCR-Right,Right-OCR,Time Stemp Error
L-L L-N Max Total Harmonic Distortion,3.5 %,['c'],['C'],
A,3.5 %,['c'],['C'],
B,3.4 %,['c'],['C'],
c,,['c'],['C'],
