Main View,Measurement,OCR-Right,Right-OCR,Time Stemp (2024-08-22 10:46:24.259738)
Min RMS Current Max,49.6 %,[] (PASS),[] (PASS),2024-08-22 10:48:39 (PASS)
A,49.8 %,[] (PASS),[] (PASS),2024-08-22 10:48:52 (PASS)
B,49.7 %,[] (PASS),[] (PASS),2024-08-22 10:48:39 (PASS)
c,49.7 %,[] (PASS),[] (PASS),2024-08-22 10:48:39 (PASS)
Average,2.479 A,[] (PASS),[] (PASS),
,2.488 A,[] (PASS),[] (PASS),
,2.486 A,[] (PASS),[] (PASS),
,2.486 A,[] (PASS),[] (PASS),
