Main View,Measurement,OCR-Right,Right-OCR,Time Stemp (2024-08-30 16:58:10.734253),Img Match
Current Unbalance Max,empty,[] (PASS),[] (PASS),,
NEMA,U2,,,,
Negative- Sequence,U0,,,,
Zero- Sequence,0.3 %,,,,
,0.3 %,,,,
,0.5 %,,,,
