Main View,Measurement Accuracy,OCR-Right,Right-OCR,Time Stemp Error
RMS Voltage L-L L-N Min Max,190.5,[],[],
AB,190.4,[],[],
v,190.5,[],[],
BC,190.2,[],[],
v,,[],[],
CA,,[],[],
v,,[],[],
Average,,[],[],
v,,[],[],
