Main View,Measurement,OCR-Right,Right-OCR,Time Stemp (2024-08-22 10:46:24.259738)
Min Max Residual Current,0.081 A,[] (FAIL),[] (FAIL),2024-08-22 10:52:53 / 388.740262 seconds (FAIL)
RMS,0.037 A,[] (FAIL),[] (FAIL),2024-08-22 10:49:48 (PASS)
Fund.,,[] (FAIL),[] (FAIL),
