Main View,Measurement,OCR-Right,Right-OCR,Time Stemp (None)
Min Max Power Factor,Lag,[] (PASS),[] (PASS),2024-08-26 16:35:50 (PASS)
A,Lag,[] (PASS),[] (PASS),2024-08-26 16:35:38 (PASS)
B,Lag,[] (PASS),[] (PASS),2024-08-26 16:35:54 (PASS)
c,Lag,[] (PASS),[] (PASS),2024-08-26 16:35:56 (PASS)
Total,0.866,[] (PASS),[] (PASS),
,0.865,[] (PASS),[] (PASS),
,0.867,[] (PASS),[] (PASS),
,0.865,[] (PASS),[] (PASS),
