Main View,Measurement,OCR-Right,Right-OCR,Time Stemp (None),Img Match
Phasor  Voltage Current,190.0 v,[] (PASS),[] (PASS),,"[0.959649920463562, 1.0, 1.0]"
VLL VLN,190.1 v,,,,
Voltage,188.4 v,,,,
AB BC CA,2.481 A,,,,
Current,2.494 A,,,,
A B C,2.492 A,,,,
,30.0,,,,
,-90.6,,,,
,149.7,,,,
,-30.4,,,,
,-150.1,,,,
,90.0,,,,
