Main View,Measurement,OCR-Right,Right-OCR,Time Stemp (None)
Max Curr. Symm. Component,11,[] (FAIL),[] (FAIL),
Positive- Sequence,12,[] (FAIL),[] (FAIL),
Negative- Sequence,10,[] (FAIL),[] (FAIL),
Zero- Sequence,2.501 A,[] (FAIL),[] (FAIL),
,0.014 A,[] (FAIL),[] (FAIL),
,0.020 A,[] (FAIL),[] (FAIL),
