Main View,Measurement Accuracy,OCR-Right,Right-OCR,Time Stemp Error
L-L  L-N Min Max Fund. Volt.,190.4 V,[],[],
AB,190.2 V,[],[],
BC,190.3 V,[],[],
CA,,[],[],
Average,,[],[],
