Main View,Measurement Accuracy,OCR-Right,Right-OCR,Time Stemp Error
L-L  L-N Min Max Fund. Volt.,189.8 V,[],[],
AB,189.7 V,[],[],
BC,189.8 V,[],[],
CA,,[],[],
Average,,[],[],
