Main View,Measurement,OCR-Right,Right-OCR,Time Stemp (None)
Min Max Reactive Power,24.9 %,[] (PASS),[] (PASS),2024-08-26 16:32:52 (PASS)
A,24.9 %,[] (PASS),[] (PASS),2024-08-26 16:32:53 (PASS)
B,24.8 %,[] (PASS),[] (PASS),2024-08-26 16:32:35 (PASS)
c,24.9 %,[] (PASS),[] (PASS),2024-08-26 16:32:53 (PASS)
Total,136.4 VAR,[] (PASS),[] (PASS),
,136.7 VAR,[] (PASS),[] (PASS),
,136.2 VAR,[] (PASS),[] (PASS),
,409.7 VAR,[] (PASS),[] (PASS),
