Main View,Measurement,OCR-Right,Right-OCR,Time Stemp (None)
Min Max Active Power,42.8 %,[] (PASS),[] (PASS),2024-08-26 16:31:54 (PASS)
A,42.7 %,[] (PASS),[] (PASS),2024-08-26 16:31:52 (PASS)
B,42.9 %,[] (PASS),[] (PASS),2024-08-26 16:31:55 (PASS)
c,42.9 %,[] (PASS),[] (PASS),2024-08-26 16:31:55 (PASS)
Total,234.5 W,[] (PASS),[] (PASS),
,234.4 W,[] (PASS),[] (PASS),
,235.5 W,[] (PASS),[] (PASS),
,705.5 W,[] (PASS),[] (PASS),
