Main View,Measurement,OCR-Right,Right-OCR,Time Stemp (None),Img Match
Voltage Harmonics Current,,[] (PASS),[] (PASS),,0.9287083745002747
[v] Graph THD Fund.,,,,,
Fund. A B C,,,,,
A,,,,,
B,,,,,
c,,,,,
