Main View,Measurement,OCR-Right,Right-OCR,Time Stemp (None),Img Match
Phasor Voltage Current,109.4 v,[] (PASS),[] (PASS),,"[0.9626928567886353, 1.0, 1.0]"
VLL VLN,109.5 v,,,,
Voltage,109.4 v,,,,
A B C,2.481 A,,,,
Current,2.494 A,,,,
A B C,2.487 A,,,,
,0.0,,,,
,-120.0,,,,
,119.4,,,,
,-30.1,,,,
,-149.9,,,,
,90.1,,,,
