Main View,Measurement,OCR-Right,Right-OCR,Time Stemp (None),Img Match
Min Max RMS Current,49.7 %,[] (PASS),[] (PASS),,
A,49.9 %,,,,
B,49.8 %,,,,
c,49.8 %,,,,
Average,2.484 A,,,,
,2.493 A,,,,
,2.490 A,,,,
,2.489 A,,,,
