Main View,Measurement,OCR-Right,Right-OCR,Time Stemp (None),Img Match
Phasor Voltage Current,189.5 v,[] (PASS),[] (PASS),,"[0.9589037895202637, 1.0, 1.0]"
VLL VLN,190.0 v,,,,
Voltage,188.9 v,,,,
AB BC CA,2.482 A,,,,
Current,2.489 A,,,,
A B C,2.487 A,,,,
,29.9,,,,
,-90.4,,,,
,149.6,,,,
,-30.2,,,,
,-150.0,,,,
,90.0,,,,
