Main View,Measurement Accuracy,OCR-Right,Right-OCR,Time Stemp Error
L-L  L-N Min Max Fund. Volt.,189.3 V,[],[],
AB,188.9 V,[],[],
BC,189.1 V,[],[],
CA,,[],[],
Average,,[],[],
