Main View,Measurement,OCR-Right,Right-OCR,Time Stemp (None)
Min Max Active Power,43.1 %,[] (PASS),[] (PASS),2024-08-26 16:32:06 (PASS)
A,43.0 %,[] (PASS),[] (PASS),2024-08-26 16:32:10 (PASS)
B,43.3 %,[] (PASS),[] (PASS),2024-08-26 16:31:59 (PASS)
c,43.1 %,[] (PASS),[] (PASS),2024-08-26 16:31:51 (PASS)
Total,236.4 W,[] (PASS),[] (PASS),
,235.9 W,[] (PASS),[] (PASS),
,237.3 W,[] (PASS),[] (PASS),
,708.6 W,[] (PASS),[] (PASS),
