Main View,Measurement,OCR-Right,Right-OCR,Time Stemp (2024-08-22 10:46:24.259738)
Max Crest Factor,1.453,[] (PASS),[] (PASS),
A,1.447,[] (PASS),[] (PASS),
B,1.462,[] (PASS),[] (PASS),
c,,[] (PASS),[] (PASS),
