Main View,Measurement Accuracy,OCR-Right,Right-OCR,Time Stemp Error
L-L L-N Max Total Harmonic Distortion,3.0,[],[],
AB,3.0,[],[],
%,3.0,[],[],
BC,,[],[],
%,,[],[],
CA,,[],[],
%,,[],[],
