Main View,Measurement,OCR-Right,Right-OCR,Time Stemp (None)
Current Unbalance Max,U2,[] (PASS),[] (PASS),
NEMA,UO,[] (PASS),[] (PASS),
Negative- Sequence,0.3 %,[] (PASS),[] (PASS),
Zero- Sequence,0.6 %,[] (PASS),[] (PASS),
,0.8 %,[] (PASS),[] (PASS),
