Main View,Measurement,OCR-Right,Right-OCR,Time Stemp (2024-08-22 10:46:24.259738)
Min Max Residual Current,0.068 A,[] (FAIL),[] (FAIL),2024-08-22 10:52:43 / 378.740262 seconds (FAIL)
RMS,0.016 A,[] (FAIL),[] (FAIL),2024-08-22 10:48:54 (PASS)
Fund.,,[] (FAIL),[] (FAIL),
