Main View,Measurement Accuracy,OCR-Right,Right-OCR,Time Stemp Error
RMS Voltage L-L L-N Min Max,189.9,[],[],
AB,189.7,[],[],
v,189.9,[],[],
BC,189.8,[],[],
v,,[],[],
CA,,[],[],
v,,[],[],
Average,,[],[],
v,,[],[],
