Main View,Measurement Accuracy,OCR-Right,Right-OCR,Time Stemp Error
Min Max Fundamental Current,OVER %,"['c', 'Fundamental']","['RMS', 'C']",2024-08-13 08:44:12
A,OVER %,"['c', 'Fundamental']","['RMS', 'C']",2024-08-13 08:34:22
B,OVER %,"['c', 'Fundamental']","['RMS', 'C']",2024-08-13 08:46:17
c,OVER %,"['c', 'Fundamental']","['RMS', 'C']",2024-08-13 08:31:24
Average,49.83 kA,"['c', 'Fundamental']","['RMS', 'C']",
,49.98 kA,"['c', 'Fundamental']","['RMS', 'C']",
,49.95 kA,"['c', 'Fundamental']","['RMS', 'C']",
