Main View,Measurement,OCR-Right,Right-OCR,Time Stemp (2024-08-22 10:46:24.259738)
K-Factor Max,1.143,[] (PASS),[] (PASS),
A,1.136,[] (PASS),[] (PASS),
B,1.141,[] (PASS),[] (PASS),
c,,[] (PASS),[] (PASS),
