Main View,Measurement Accuracy,OCR-Right,Right-OCR,Time Stemp Error
Phasor Voltage V  Current,189.6 v,['V'],"['BC', 'CA', 'B', 'AB']",
VLL VLN,189.5 v,['V'],"['BC', 'CA', 'B', 'AB']",
Voltage,190.0 v,['V'],"['BC', 'CA', 'B', 'AB']",
A C,49.68 kA,['V'],"['BC', 'CA', 'B', 'AB']",
Current,49.80 kA,['V'],"['BC', 'CA', 'B', 'AB']",
,49.76 kA,['V'],"['BC', 'CA', 'B', 'AB']",
,30.1 0,['V'],"['BC', 'CA', 'B', 'AB']",
,-89.7 0,['V'],"['BC', 'CA', 'B', 'AB']",
,150.2 0,['V'],"['BC', 'CA', 'B', 'AB']",
,-29.9 0,['V'],"['BC', 'CA', 'B', 'AB']",
,-150.1 0,['V'],"['BC', 'CA', 'B', 'AB']",
,90.0 0,['V'],"['BC', 'CA', 'B', 'AB']",
