Main View,Measurement,OCR-Right,Right-OCR,Time Stamp (2024-12-03 13:12:25+00:00),Img Match,H.Text
Max Total Demand Distortion,,,,,,
A,2.0% (PASS),[] (PASS),[] (PASS),2024-12-03 13:12:48 / 23.0 seconds (FAIL),,
B,1.9% (PASS),,,2024-12-03 13:12:38 / 13.0 seconds (FAIL),,
C,2.0% (PASS),,,2024-12-03 13:12:48 / 23.0 seconds (FAIL),,
