Main View,Measurement,OCR-Right,Right-OCR,Time Stamp (2024-12-03 13:15:25+00:00),Img Match,H.Text
K-Factor Max,,,,,,
A,1.348 (PASS),[] (PASS),[] (PASS),2024-12-03 13:15:57 / 32.0 seconds (FAIL),,
B,1.338 (PASS),,,2024-12-03 13:15:48 / 23.0 seconds (FAIL),,
C,1.345 (PASS),,,2024-12-03 13:15:36 / 11.0 seconds (FAIL),,
