Main View,Measurement,OCR-Right,Right-OCR,Time Stamp (2024-12-03 12:57:16+00:00),Img Match,H.Text
L-L L-N Max Total Harmonic Distortion,,,,,,
A,3.5% (PASS),[] (PASS),[] (PASS),2024-12-03 12:58:36 / 80.0 seconds (FAIL),,
B,3.5% (PASS),,,2024-12-03 12:59:07 / 111.0 seconds (FAIL),,
C,3.5% (PASS),,,2024-12-03 12:58:53 / 97.0 seconds (FAIL),,
