Main View,Measurement,OCR-Right,Right-OCR,Time Stamp (2024-12-03 12:51:24+00:00),Img Match,H.Text
Fund. Volt. L-L L-N Min Max,,,,,,
A,110.1V (PASS),[] (PASS),[] (PASS),2024-12-03 12:55:44 / 260.0 seconds (FAIL),,
B,109.8V (PASS),,,2024-12-03 12:55:48 / 264.0 seconds (FAIL),,
C,110.1V (PASS),,,2024-12-03 12:52:10 / 46.0 seconds (FAIL),,
Average,109.8V (PASS),,,2024-12-03 12:55:17 / 233.0 seconds (FAIL),,
