Main View,Measurement,OCR-Right,Right-OCR,Time Stamp (2024-12-03 12:51:24+00:00),Img Match,H.Text
L-L L-N Min Max Fund. Volt.,,,,,,
A,109.8V (PASS),[] (PASS),[] (PASS),,,
B,109.4V (PASS),,,,,
C,109.6V (PASS),,,,,
Average,109.6V (PASS),,,,,
