Main View,OCR-Right,Right-OCR,Time Stemp (2024-12-03 13:18:45+00:00),Img Match,H.Text
Phasor Voltage Current,,,,,
VLL VLN,[] (PASS),[] (PASS),,"[0.9918093085289001, 1.0, 1.0]",
Voltage,,,,,
AB BC CA,,,,,
Current,,,,,
A B C,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
