Main View,Measurement,OCR-Right,Right-OCR,Time Stamp (2024-12-03 13:01:40+00:00),Img Match,H.Text
Residual Voltage Min Max,,,,,,
RMS,6.139V (PASS),[] (PASS),[] (PASS),2024-12-03 13:01:54 / 14.0 seconds (FAIL),,
Fund.,0.95V (PASS),,,2024-12-03 13:02:10 / 30.0 seconds (FAIL),,
