Main View,Measurement,OCR-Right,Right-OCR,Time Stamp (2024-12-03 13:12:25+00:00),Img Match,H.Text
Max Crest Factor,,,,,,
A,1.462 (PASS),[] (PASS),[] (PASS),,,
B,1.468 (PASS),,,,,
C,1.462 (PASS),,,,,
