Main View,Measurement,OCR-Right,Right-OCR,Time Stamp (2024-12-03 13:10:53+00:00),Img Match,H.Text
Max Total Harmonic Distortion,,,,,,
A,,[] (PASS),[] (PASS),2024-12-03 13:11:06 / 13.0 seconds (FAIL),,
B,,,,2024-12-03 13:11:25 / 32.0 seconds (FAIL),,
C,,,,2024-12-03 13:10:56 (PASS),,
