Main View,Measurement,OCR-Right,Right-OCR,Time Stamp (2024-12-03 13:15:25+00:00),Img Match,H.Text
Min Max Residual Current,,,,,,
RMS,85.63mA (PASS),[] (PASS),[] (PASS),,,
Fund.,26.92mA (PASS),,,,,
