Main View,Measurement,OCR-Right,Right-OCR,Time Stamp (2024-12-03 13:13:55+00:00),Img Match,H.Text
Crest Factor Max,,,,,,
A,1.471 (PASS),[] (PASS),[] (PASS),2024-12-03 13:14:10 / 15.0 seconds (FAIL),,
B,1.48 (PASS),,,2024-12-03 13:14:31 / 36.0 seconds (FAIL),,
C,1.476 (PASS),,,2024-12-03 13:13:57 (PASS),,
