Main View,Measurement,OCR-Right,Right-OCR,Time Stemp (2024-11-19 17:01:59+00:00),Img Match,H.Text
Max Crest Factor,,,,,,
A,0.0 (PASS),[] (PASS),['C'] (FAIL),2024-11-19 17:02:01 (PASS),,
B,0.0 (PASS),,,2024-11-19 17:02:01 (PASS),,
,0.0 (PASS),,,2024-11-19 17:02:01 (PASS),,
