Main View,Measurement,OCR-Right,Right-OCR,Time Stemp (None),Img Match
Phasor Voltage Current,,,,,
VLL VLN,188.5 v,[] (PASS),[] (PASS),,"[0.9588219523429871, 1.0, 1.0]"
Voltage,189.2 v,,,,
AB BC CA,189.7 v,,,,
Current,2.480 A,,,,
A B C,2.484 A,,,,
,2.493 A,,,,
,29.9,,,,
,-89.8,,,,
,149.9,,,,
,-30.4,,,,
,-150.8,,,,
