Main View,Measurement,OCR-Right,Right-OCR,Time Stemp (None),Img Match
Phasor Voltage Current,,,,,
VLL VLN,109.2 v,[] (PASS),[] (PASS),,"[0.962529182434082, 1.0, 1.0]"
Voltage,108.9,,,,
A B C,109.8 v,,,,
Current,2.480 A,,,,
A B C,2.483 A,,,,
,2.494 A,,,,
,0.0,,,,
,-119.8,,,,
,119.9,,,,
,-30.3,,,,
,-150.6,,,,
