Main View,Measurement,OCR-Right,Right-OCR,Time Stemp (2024-09-06 13:40:52.276327),Img Match
Max Current Unbalance,,,,,
NEMA,empty,[] (PASS),[] (PASS),2024-09-06 13:42:26 (PASS),
Negative- Sequence,U2,,,2024-09-06 13:42:43 (PASS),
Zero- Sequence,U0,,,2024-09-06 13:42:39 (PASS),
,0.3 %,,,,
,0.4 %,,,,
