Main View,Measurement,OCR-Right,Right-OCR,Time Stemp (2024-09-06 13:37:31.845323),Img Match
L-L L-N Max Volt. Symm. Component,,,,,
Positive- Sequence,V1,[] (PASS),[] (PASS),2024-09-06 13:39:59 (PASS),
Negative- Sequence,V2,,,2024-09-06 13:39:11 (PASS),
,109.8 V,,,,
